feature,raw_corr,partial_content_length,partial_num_links,partial_num_references,partial_num_sections,partial_num_categories,partial_summary_length,partial_num_languages,partial_avg_sentence_length,partial_last_revision_date
meta_Webarchive template wayback links,0.308913597,0.123147098,0.292575612,0.181202856,0.118662028,0.190884209,0.248694607,0.248392293,0.280434227,0.259145667
meta_Wikipedia indefinitely move-protected pages,0.170755889,0.020984729,0.153929887,0.056682434,0.070008214,0.087572702,0.135208906,0.077697827,0.166996866,0.156047216
meta_Wikipedia indefinitely semi-protected pages,0.179908629,0.032751179,0.162913672,0.064269378,0.074067969,0.096923156,0.13548059,0.091017873,0.167474256,0.164157029
meta_Short description is different from Wikidata,0.188663433,0.107485472,0.18202264,0.13030953,0.090249821,0.154753725,0.133548036,0.153538619,0.153485132,0.12611073
meta_CS1: long volume value,0.192058934,0.057696299,0.179411776,0.090089804,0.082397591,0.11148307,0.153676008,0.1467707,0.178150916,0.170037036
meta_CS1 German-language sources (de),0.177568951,0.045394156,0.164295974,0.081485039,0.062335838,0.078524667,0.140446305,0.137549648,0.165263464,0.155638236
meta_All articles containing potentially dated statements,0.180218279,-0.02284292,0.1659656,0.019382734,0.015306221,0.056624318,0.133475569,0.127357711,0.169103789,0.155059869
meta_Articles containing Latin-language text,0.155387032,0.047102298,0.138063641,0.079048537,0.062968673,0.050523697,0.121303308,0.083630613,0.137179555,0.133998039
meta_All articles with unsourced statements,0.216438674,0.089394404,0.205353224,0.138234157,0.054609148,0.063820784,0.177625738,0.188629134,0.189769548,0.158942873
meta_Articles with short description,0.183491635,0.155237904,0.176943778,0.166093075,0.137371217,0.141812872,0.158378425,0.167871139,0.161726564,0.098576716
meta_Articles containing video clips,0.153435065,0.060984099,0.147704005,0.08717346,0.070935674,0.096519447,0.12179851,0.119860817,0.140403046,0.134516769
meta_Pages using multiple image with auto scaled images,0.150554078,-0.004378166,0.134792515,0.036192648,0.039480329,0.076749868,0.108222464,0.095211905,0.140976427,0.13078061
meta_Pages using the Phonos extension,0.117059258,0.002715029,0.097492606,0.027363978,0.043193812,0.005814902,0.073526531,0.02961214,0.106106755,0.103551745
meta_CS1 errors: ISBN date,0.162122172,0.060975091,0.151435591,0.102805551,0.069722899,0.097359171,0.125050092,0.120325245,0.145802571,0.145230577
meta_Pages including recorded pronunciations,0.115918435,0.008367646,0.097639246,0.030205968,0.048577192,0.007643498,0.075498161,0.029604225,0.106097276,0.103203816
meta_Articles containing Ancient Greek (to 1453)-language text,0.124127646,0.038907063,0.109747975,0.053106287,0.052973168,0.045723894,0.089479646,0.058322938,0.105701271,0.104800209
meta_Pages using Sister project links with hidden wikidata,0.133919408,-0.046802035,0.116421886,-0.005832672,0.021703384,0.04795557,0.086817029,0.057020508,0.123929998,0.121317506
meta_CS1 French-language sources (fr),0.140841801,0.024059504,0.128428466,0.059494949,0.042580423,0.051262161,0.104081473,0.094412304,0.124201748,0.119330605
meta_CS1: unfit URL,0.146771591,-0.021801772,0.135903891,0.020079154,0.010536629,0.043319729,0.109945529,0.103426886,0.132578293,0.123526301
meta_Commons category link is on Wikidata,0.156902823,0.113418119,0.150852193,0.132776553,0.085396789,0.101580883,0.11954164,0.123836293,0.126336515,0.125537983
meta_Articles without EBI source,-0.150735004,-0.087540055,-0.15689847,-0.117265617,-0.06172247,-0.184452966,-0.106948881,-0.132721987,-0.118703455,-0.108667299
