,n_articles,Avg Rating,Rank,GA,B,C,START,STUB
Cluster 6,345 (2.1%),3.9503311258278146,1,72 (20.9%),143 (41.4%),87 (25.2%),0 (0.0%),0 (0.0%)
Cluster 8,128 (0.8%),3.7288135593220337,2,18 (14.1%),51 (39.8%),48 (37.5%),1 (0.8%),0 (0.0%)
Cluster 12,188 (1.2%),3.651898734177215,3,40 (21.3%),45 (23.9%),52 (27.7%),20 (10.6%),1 (0.5%)
Cluster 3,2216 (13.6%),3.4048490393412627,4,114 (5.1%),809 (36.5%),1113 (50.2%),148 (6.7%),2 (0.1%)
Cluster 5,176 (1.1%),3.224852071005917,5,11 (6.2%),60 (34.1%),61 (34.7%),30 (17.0%),7 (4.0%)
Cluster 14,598 (3.7%),3.1747899159663864,6,26 (4.3%),176 (29.4%),280 (46.8%),102 (17.1%),11 (1.8%)
Cluster 7,396 (2.4%),3.045685279187817,7,8 (2.0%),100 (25.3%),194 (49.0%),86 (21.7%),6 (1.5%)
Cluster 10,201 (1.2%),3.044776119402985,8,5 (2.5%),54 (26.9%),90 (44.8%),49 (24.4%),3 (1.5%)
Cluster 9,143 (0.9%),2.7132867132867133,9,0 (0.0%),18 (12.6%),69 (48.3%),53 (37.1%),3 (2.1%)
Cluster 4,284 (1.7%),2.6338028169014085,10,3 (1.1%),63 (22.2%),74 (26.1%),115 (40.5%),29 (10.2%)
Cluster 11,134 (0.8%),2.544776119402985,11,3 (2.2%),19 (14.2%),43 (32.1%),52 (38.8%),17 (12.7%)
Cluster 0,6240 (38.3%),2.4975124378109452,12,59 (0.9%),574 (9.2%),2252 (36.1%),2869 (46.0%),477 (7.6%)
Cluster 2,4141 (25.4%),2.3273737617782073,13,34 (0.8%),321 (7.8%),1284 (31.0%),1827 (44.1%),673 (16.3%)
Cluster 1,984 (6.0%),2.2286585365853657,14,7 (0.7%),145 (14.7%),161 (16.4%),424 (43.1%),247 (25.1%)
Cluster 13,136 (0.8%),2.161764705882353,15,2 (1.5%),15 (11.0%),26 (19.1%),53 (39.0%),40 (29.4%)
