content_length,num_links,num_sections,num_references,num_categories,summary_length,avg_sentence_length,last_revision_date,num_languages,rating,meta_All Wikipedia articles in need of updating,meta_All Wikipedia articles needing clarification,meta_All Wikipedia articles written in American English,meta_All Wikipedia articles written in British English,meta_All accuracy disputes,meta_All articles containing potentially dated statements,meta_All articles covered by WikiProject Wikify,meta_All articles lacking in-text citations,meta_All articles lacking reliable references,meta_All articles needing additional references,meta_All articles that are too technical,meta_All articles that may contain original research,meta_All articles to be expanded,meta_All articles with dead external links,meta_All articles with failed verification,meta_All articles with incomplete citations,meta_All articles with specifically marked weasel-worded phrases,meta_All articles with style issues,meta_All articles with unsourced statements,meta_All articles with vague or ambiguous time,meta_All pages needing cleanup,meta_All pages needing factual verification,meta_All stub articles,meta_Articles containing Ancient Greek (to 1453)-language text,meta_Articles containing Arabic-language text,meta_Articles containing Chinese-language text,meta_Articles containing French-language text,meta_Articles containing German-language text,meta_Articles containing Greek-language text,meta_Articles containing Italian-language text,meta_Articles containing Japanese-language text,meta_Articles containing Latin-language text,meta_Articles containing Spanish-language text,meta_Articles containing unverified chemical infoboxes,meta_Articles containing video clips,meta_Articles with changed CASNo identifier,meta_Articles with changed EBI identifier,meta_Articles with excerpts,meta_Articles with hAudio microformats,meta_Articles with multiple maintenance issues,meta_Articles with permanently dead external links,meta_Articles with short description,meta_Articles with unsourced statements from August 2025,meta_Articles with unsourced statements from January 2025,meta_Articles without EBI source,meta_Articles without InChI source,meta_Articles without KEGG source,meta_Articles without UNII source,meta_CS1 French-language sources (fr),meta_CS1 German-language sources (de),meta_CS1 Italian-language sources (it),meta_CS1 Russian-language sources (ru),meta_CS1 Spanish-language sources (es),meta_CS1 errors: ISBN date,meta_CS1 errors: missing periodical,meta_CS1 errors: periodical ignored,meta_CS1 maint: DOI inactive as of July 2025,meta_CS1 maint: archived copy as title,meta_CS1 maint: bot: original URL status unknown,meta_CS1 maint: location missing publisher,meta_CS1 maint: multiple names: authors list,meta_CS1 maint: numeric names: authors list,meta_CS1 maint: others,meta_CS1 maint: publisher location,meta_CS1 maint: work parameter with ISBN,meta_CS1: long volume value,meta_CS1: unfit URL,meta_CS1:Vancouver names with accept markup,meta_Chembox having GHS data,meta_Chembox image size set,meta_Chemical articles with multiple CAS registry numbers,meta_Chemical articles with multiple compound IDs,meta_Commons category link from Wikidata,meta_Commons category link is locally defined,meta_Commons category link is on Wikidata,meta_Commons link from Wikidata,meta_Coordinates on Wikidata,meta_ECHA InfoCard ID from Wikidata,meta_Featured articles,meta_Good articles,meta_Multiple chemicals in an infobox that need indexing,meta_Pages displaying short descriptions of redirect targets via Module:Annotated link,meta_Pages including recorded pronunciations,meta_Pages using Sister project links with default search,meta_Pages using Sister project links with hidden wikidata,meta_Pages using gadget WikiMiniAtlas,meta_Pages using multiple image with auto scaled images,meta_Pages using sidebar with the child parameter,meta_Pages using the Phonos extension,meta_Pages with plain IPA,meta_Short description is different from Wikidata,meta_Short description matches Wikidata,meta_Source attribution,meta_Webarchive template wayback links,meta_Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference,meta_Wikipedia articles incorporating text from the 1911 Encyclopædia Britannica,meta_Wikipedia indefinitely move-protected pages,meta_Wikipedia indefinitely semi-protected pages,meta_Wikipedia medicine articles ready to translate,meta_Wikipedia pages semi-protected against vandalism,lang_ar,lang_ca,lang_cs,lang_de,lang_es,lang_fa,lang_fi,lang_fr,lang_id,lang_it,lang_ja,lang_ko,lang_nl,lang_pl,lang_pt,lang_ru,lang_sv,lang_tr,lang_uk,lang_zh
5043,0,4,8,4,0,0.0,2025-06-14T09:31:15Z,0,START,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3812,0,7,4,6,0,0.0,2025-02-21T19:14:10Z,0,START,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63683,0,31,93,7,1994,22.23,2025-11-18T22:06:54Z,44,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40548,151,38,41,18,842,19.14,2025-12-14T17:49:02Z,51,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29565,0,12,20,11,0,0.0,2025-10-02T00:12:42Z,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,0,2,2,5,0,0.0,2025-10-23T21:34:00Z,0,STUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412,162,11,27,8,187,12.67,2025-12-19T08:42:34Z,41,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
9169,0,11,5,9,0,0.0,2025-04-14T21:03:41Z,0,START,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18167,0,12,24,13,0,0.0,2026-01-17T02:23:43Z,0,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53748,0,23,123,14,2284,17.95,2026-01-21T20:58:15Z,202,GA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
