page_id,title,url,content_length,num_links,num_sections,num_references,all_categories,meta_categories,science_categories,num_categories,summary_length,avg_sentence_length,last_revision_date,num_languages,languages,rating
47262,2 Pallas,https://en.wikipedia.org/wiki/2_Pallas,49731,184,16,138,"['1802 in science', 'Articles containing Ancient Greek (to 1453)-language text', 'Articles containing Chinese-language text', 'Articles containing Italian-language text', 'Articles containing Russian-language text', 'Articles with short description', 'Astronomical objects discovered in 1802', 'B-type asteroids (SMASS)', 'B-type asteroids (Tholen)', 'Commons link is on Wikidata', 'Discoveries by Heinrich Olbers', 'Former dwarf planet candidates', 'Good articles', 'Minor planet object articles (numbered)', 'Named minor planets', 'Objects observed by stellar occultation', 'Pallas asteroids', 'Short description is different from Wikidata', 'Use dmy dates from April 2022', 'Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference']","['Articles containing Ancient Greek (to 1453)-language text', 'Articles containing Chinese-language text', 'Articles containing Italian-language text', 'Articles containing Russian-language text', 'Articles with short description', 'Commons link is on Wikidata', 'Good articles', 'Short description is different from Wikidata', 'Use dmy dates from April 2022', 'Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference']","['1802 in science', 'Astronomical objects discovered in 1802', 'B-type asteroids (SMASS)', 'B-type asteroids (Tholen)', 'Discoveries by Heinrich Olbers', 'Former dwarf planet candidates', 'Minor planet object articles (numbered)', 'Named minor planets', 'Objects observed by stellar occultation', 'Pallas asteroids']",20,2198,24.4,2025-11-25T20:44:17Z,93,"['af', 'gsw', 'an', 'anp', 'ar', 'arz', 'ast', 'az', 'be', 'be-tarask', 'bg', 'br', 'bs', 'ca', 'ce', 'ckb', 'cs', 'cu', 'cy', 'da', 'de', 'el', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'ga', 'gl', 'he', 'hi', 'hr', 'hu', 'hy', 'ia', 'id', 'io', 'it', 'ja', 'jv', 'ka', 'kcg', 'kk', 'kn', 'ko', 'ku', 'kv', 'ky', 'la', 'lb', 'lfn', 'li', 'lmo', 'lt', 'lv', 'mk', 'nds', 'nl', 'nn', 'nb', 'oc', 'pl', 'pnb', 'pt', 'ro', 'ru', 'scn', 'sco', 'sh', 'si', 'simple', 'sk', 'sl', 'sr', 'su', 'sv', 'sw', 'th', 'tl', 'tr', 'tt', 'uk', 'ur', 'uz', 'vi', 'war', 'wuu', 'zh', 'nan', 'yue']",GA
71318,100-year flood,https://en.wikipedia.org/wiki/100-year_flood,24708,265,10,43,"['Actuarial science', 'Articles with short description', 'CS1 maint: multiple names: authors list', 'Extreme value data', 'Flood control', 'Flood insurance', 'Hydrology', 'Short description is different from Wikidata', 'Webarchive template wayback links']","['Articles with short description', 'CS1 maint: multiple names: authors list', 'Short description is different from Wikidata', 'Webarchive template wayback links']","['Actuarial science', 'Extreme value data', 'Flood control', 'Flood insurance', 'Hydrology']",9,698,25.2,2025-12-01T13:21:16Z,10,"['ar', 'de', 'es', 'fa', 'fr', 'ms', 'nb', 'sv', 'zh']",C
175149,'Pataphysics,https://en.wikipedia.org/wiki/%27Pataphysics,49610,51,24,65,"[""'Pataphysics"", 'Alfred Jarry', 'All articles containing potentially dated statements', 'All articles with unsourced statements', 'Articles containing Ancient Greek (to 1453)-language text', 'Articles containing French-language text', 'Articles containing Latin-language text', 'Articles containing Spanish-language text', 'Articles containing potentially dated statements from 2018', 'Articles with short description', 'Articles with unsourced statements from July 2020', 'CS1: long volume value', 'CS1 French-language sources (fr)', 'CS1 Lithuanian-language sources (lt)', 'CS1 Spanish-language sources (es)', 'Fictional philosophies', 'Short description is different from Wikidata', 'Use dmy dates from December 2022', 'Wikipedia articles needing page number citations from December 2022']","['All articles containing potentially dated statements', 'All articles with unsourced statements', 'Articles containing Ancient Greek (to 1453)-language text', 'Articles containing French-language text', 'Articles containing Latin-language text', 'Articles containing Spanish-language text', 'Articles containing potentially dated statements from 2018', 'Articles with short description', 'Articles with unsourced statements from July 2020', 'CS1: long volume value', 'CS1 French-language sources (fr)', 'CS1 Lithuanian-language sources (lt)', 'CS1 Spanish-language sources (es)', 'Short description is different from Wikidata', 'Use dmy dates from December 2022', 'Wikipedia articles needing page number citations from December 2022']","[""'Pataphysics"", 'Alfred Jarry', 'Fictional philosophies']",19,273,20.5,2026-01-04T15:47:15Z,25,"['ast', 'bg', 'ca', 'cs', 'de', 'el', 'es', 'eu', 'fi', 'fr', 'gl', 'he', 'it', 'ja', 'ko', 'nl', 'nb', 'pl', 'pt', 'ro', 'ru', 'sv', 'tr', 'uk']",C
786020,"1,4-Butanediol","https://en.wikipedia.org/wiki/1,4-Butanediol",19934,0,12,32,"['1,4-Butanediyl compounds', 'Alcohol solvents', 'Alkanediols', 'All articles needing additional references', 'Articles containing unverified chemical infoboxes', 'Articles needing additional references from October 2024', 'Articles with short description', 'Articles without KEGG source', 'CS1 Dutch-language sources (nl)', 'CS1 maint: overridden setting', 'CS1 maint: work parameter with ISBN', 'Chembox having GHS data', 'Chemical articles with multiple compound IDs', 'Designer prodrugs', 'ECHA InfoCard ID from Wikidata', 'GABAB receptor agonists', 'GABA analogues', 'GHB receptor agonists', 'Multiple chemicals in an infobox that need indexing', 'Neurotransmitter precursors', 'Primary alcohols', 'Sedatives', 'Short description is different from Wikidata', 'Short description matches Wikidata', 'Use dmy dates from November 2022']","['All articles needing additional references', 'Articles containing unverified chemical infoboxes', 'Articles needing additional references from October 2024', 'Articles with short description', 'Articles without KEGG source', 'CS1 Dutch-language sources (nl)', 'CS1 maint: overridden setting', 'CS1 maint: work parameter with ISBN', 'Chembox having GHS data', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description is different from Wikidata', 'Short description matches Wikidata', 'Use dmy dates from November 2022']","['1,4-Butanediyl compounds', 'Alcohol solvents', 'Alkanediols', 'Designer prodrugs', 'GABAB receptor agonists', 'GABA analogues', 'GHB receptor agonists', 'Neurotransmitter precursors', 'Primary alcohols', 'Sedatives']",25,369,25.0,2026-01-08T01:18:38Z,27,"['ar', 'az', 'azb', 'ca', 'de', 'eo', 'es', 'eu', 'fa', 'fi', 'fr', 'id', 'it', 'ja', 'ko', 'lv', 'nl', 'pl', 'pt', 'ro', 'ru', 'sh', 'sr', 'sv', 'vi', 'zh']",B
1110853,*Dyēus,https://en.wikipedia.org/wiki/*Dy%C4%93us,62518,0,18,60,"['Articles containing Albanian-language text', 'Articles containing Ancient Greek (to 1453)-language text', 'Articles containing Celtiberian-language text', 'Articles containing Latin-language text', 'Articles containing Old Irish (to 900)-language text', 'Articles containing Proto-Indo-European-language text', 'Articles containing Transalpine Gaulish-language text', 'Articles containing Welsh-language text', 'Articles containing uncoded-language text', 'Articles with short description', 'Articles with text in Indo-European languages', 'Articles with text in Italic languages', 'CS1: long volume value', 'CS1 Albanian-language sources (sq)', 'CS1 Ewe-language sources (ee)', 'CS1 French-language sources (fr)', 'CS1 German-language sources (de)', 'CS1 Lithuanian-language sources (lt)', 'CS1 Polish-language sources (pl)', 'CS1 errors: ISBN date', 'Etymologies', 'Pages with non-English text lacking appropriate markup and no ISO hint', 'Pages with non-English text lacking appropriate markup from January 2024', 'Proto-Indo-European gods', 'Reconstructed words', 'Short description is different from Wikidata', 'Sky and weather gods', 'Wikipedia articles needing page number citations from October 2022']","['Articles containing Albanian-language text', 'Articles containing Ancient Greek (to 1453)-language text', 'Articles containing Celtiberian-language text', 'Articles containing Latin-language text', 'Articles containing Old Irish (to 900)-language text', 'Articles containing Proto-Indo-European-language text', 'Articles containing Transalpine Gaulish-language text', 'Articles containing Welsh-language text', 'Articles containing uncoded-language text', 'Articles with short description', 'Articles with text in Indo-European languages', 'Articles with text in Italic languages', 'CS1: long volume value', 'CS1 Albanian-language sources (sq)', 'CS1 Ewe-language sources (ee)', 'CS1 French-language sources (fr)', 'CS1 German-language sources (de)', 'CS1 Lithuanian-language sources (lt)', 'CS1 Polish-language sources (pl)', 'CS1 errors: ISBN date', 'Pages with non-English text lacking appropriate markup and no ISO hint', 'Pages with non-English text lacking appropriate markup from January 2024', 'Short description is different from Wikidata', 'Wikipedia articles needing page number citations from October 2022']","['Etymologies', 'Proto-Indo-European gods', 'Reconstructed words', 'Sky and weather gods']",28,841,20.67,2025-12-27T19:49:48Z,19,"['ar', 'ca', 'cs', 'es', 'ext', 'fa', 'fi', 'fr', 'id', 'ja', 'ko', 'nl', 'pl', 'ru', 'tl', 'uk', 'vi', 'zh']",B
1215764,'t Hooft–Polyakov monopole,https://en.wikipedia.org/wiki/%27t_Hooft%E2%80%93Polyakov_monopole,3956,0,4,2,"['Articles with short description', 'Gauge theories', 'Magnetic monopoles', 'Short description is different from Wikidata', 'Wikipedia articles needing clarification from May 2019']","['Articles with short description', 'Short description is different from Wikidata', 'Wikipedia articles needing clarification from May 2019']","['Gauge theories', 'Magnetic monopoles']",5,2011,23.4,2025-05-29T21:10:07Z,4,"['de', 'ko', 'ru']",START
2678212,*kʷetwóres rule,https://en.wikipedia.org/wiki/*k%CA%B7etw%C3%B3res_rule,2668,0,2,0,"['All articles lacking in-text citations', 'All stub articles', 'Articles containing German-language text', 'Articles containing Latin-language text', 'Articles containing Proto-Indo-European-language text', 'Articles lacking in-text citations from June 2024', 'Articles with short description', 'Articles with text in Indic languages', 'Historical linguistics stubs', 'Indo-European language stubs', 'Indo-European sound laws', 'Reconstructed words', 'Short description is different from Wikidata']","['All articles lacking in-text citations', 'All stub articles', 'Articles containing German-language text', 'Articles containing Latin-language text', 'Articles containing Proto-Indo-European-language text', 'Articles lacking in-text citations from June 2024', 'Articles with short description', 'Articles with text in Indic languages', 'Short description is different from Wikidata']","['Historical linguistics stubs', 'Indo-European language stubs', 'Indo-European sound laws', 'Reconstructed words']",13,1064,21.5,2025-12-21T14:07:32Z,4,"['be', 'ru', 'zh']",STUB
7737087,"1,4-Butynediol","https://en.wikipedia.org/wiki/1,4-Butynediol",4696,0,5,12,"['Alkyne derivatives', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Chembox having GHS data', 'Chembox image size set', 'Diols', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Chembox having GHS data', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Alkyne derivatives', 'Diols']",8,256,14.67,2026-01-06T00:46:17Z,15,"['azb', 'de', 'fa', 'fi', 'fr', 'hi', 'ja', 'ko', 'nl', 'pl', 'ro', 'sh', 'sr', 'zh']",B
13948661,"2,3-Butanediol","https://en.wikipedia.org/wiki/2,3-Butanediol",8468,0,5,13,"['Alkanediols', 'All articles with unsourced statements', 'Articles containing unverified chemical infoboxes', 'Articles with changed EBI identifier', 'Articles with short description', 'Articles with unsourced statements from July 2018', 'Articles without KEGG source', 'Butane', 'Chembox image size set', 'Chemical articles with multiple CAS registry numbers', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description is different from Wikidata', 'Vicinal diols']","['All articles with unsourced statements', 'Articles containing unverified chemical infoboxes', 'Articles with changed EBI identifier', 'Articles with short description', 'Articles with unsourced statements from July 2018', 'Articles without KEGG source', 'Chembox image size set', 'Chemical articles with multiple CAS registry numbers', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description is different from Wikidata']","['Alkanediols', 'Butane', 'Vicinal diols']",15,276,8.0,2025-12-26T15:13:25Z,16,"['azb', 'de', 'eo', 'es', 'fa', 'fi', 'fr', 'ja', 'ko', 'pt', 'ro', 'ru', 'sh', 'sr', 'zh']",START
14188289,"1,3-Butanediol","https://en.wikipedia.org/wiki/1,3-Butanediol",11621,0,5,19,"['Alkanediols', 'Articles containing unverified chemical infoboxes', 'Articles with changed DrugBank identifier', 'Articles with changed EBI identifier', 'Articles with changed InChI identifier', 'Articles with changed KEGG identifier', 'Articles with short description', 'Articles without InChI source', 'Chembox having GHS data', 'Chembox image size set', 'Chemical articles with multiple CAS registry numbers', 'Chemical articles with multiple PubChem CIDs', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'E number from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with changed DrugBank identifier', 'Articles with changed EBI identifier', 'Articles with changed InChI identifier', 'Articles with changed KEGG identifier', 'Articles with short description', 'Articles without InChI source', 'Chembox having GHS data', 'Chembox image size set', 'Chemical articles with multiple CAS registry numbers', 'Chemical articles with multiple PubChem CIDs', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'E number from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description matches Wikidata']",['Alkanediols'],17,497,13.33,2025-12-26T15:06:28Z,20,"['awa', 'azb', 'de', 'eo', 'es', 'fa', 'fi', 'fr', 'hi', 'ja', 'ko', 'nl', 'ro', 'ru', 'sh', 'sr', 'ta', 'vi', 'zh']",START
